habitatID,habitatLevel,habitatType,habitatDetails
D1.11115,7,[Sphagnum imbricatum] hummocks,"Often tall, large, dense hummocks of European bogs formed by the large, orange-gold [Sphagnum imbricatum], limited to undisturbed bogs in areas of strong maritime influence, in particular, in the British Isles, southwestern Sweden, Hercynian Belgium, northwestern Germany, formerly common, today rare and increasingly so."
D1.11116,7,[Sphagnum papillosum] hummocks,"Low hummocks of olive-brown or ocre [Sphagnum papillosum], formed mostly in bogs of western and northern Europe, in particular, of the British Isles, Denmark, northwestern Germany, the Netherlands, Belgium. Outside of bogs, [Sphagnum papillosum] hummocks may form in a variety of mires, particularly in Atlantic regions."
D1.11117,7,[Sphagnum capillifolium] hummocks,"Hummocks of Palaearctic bogs formed by the reddish [Sphagnum capillifolium] ([Sphagnum capillifolium var. capillifolium]), known, in particular, from the southeastern Baltic coastal regions, from higher levels of the western and central European Hercynian ranges, from the Alps and from the Pyrenees."
D1.11118,7,[Sphagnum angustifolium] hummocks,"Hummocks of Palaearctic bogs formed by [Sphagnum angustifolium], recorded, in particular, from northeastern Europe and France."
D1.1112,6,Bog cottonsedge-sphagnum lawns and green hummock bases,"Communities dominated by [Eriophorum vaginatum] and sphagna, in particular, green or yellow [Sphagnum cuspidatum], [Sphagnum recurvum] ([Sphagnum apiculatum], [Sphagnum fallax]), [Sphagnum pulchrum], [Sphagnum papillosum], [Sphagnum balticum], [Sphagnum tenellum], also [Sphagnum magellanicum], [Sphagnum rubellum], [Sphagnum fuscum] and others, constituting extensive carpets or lawns, or, sometimes with a lesser prominence of [Eriophorum vaginatum], forming in the transition zone between hollows and hummocks of Palaearctic bogs; [Drosera rotundifolia], [Andromeda polifolia], [Vaccinium oxycoccos] are often common."
D1.11121,7,[Eriophorum-Sphagnum tenellum] lawns,"Communities of bog lawns and of areas intermediate between hollows and hummocks in which often small loose cushions of [Sphagnum tenellum] dominate the ground layer, usually in association with [Sphagnum balticum], [Sphagnum rubellum], [Sphagnum papillosum], [Sphagnum subnitens], and with an emergent layer of [Eriophorum vaginatum], characteristic, in particular, of Finland, the southeastern Baltic coastlands, also recorded from Scandinavia, Britain and Ireland."
D1.11122,7,[Eriophorum-Sphagnum pulchrum] lawns,"Hollow-side and lawn communities of Palaearctic bogs dominated by the bright orange [Sphagnum pulchrum] associated with [Eriophorum vaginatum], recorded, in particular, from northwestern Central Europe, Ireland and western Britain."
D1.11123,7,[Eriophorum-Sphagnum papillosum] lawns,"Lawns and hummock-to-hollow transition communities of Palaearctic bogs dominated by [Sphagnum papillosum] associated with [Eriophorum vaginatum], most characteristic of maritime and submaritime regions of the western and eastern Palaearctic, often constituting the dominant lawn community in Atlantic and sub-Atlantic bogs of nemoral Europe. [Erica tetralix] is a usual member of the community in western regions; when its cover exceeds that of [Eriophorum vaginatum] the stands should be listed under unit D1.1115. In boreal Europe [Sphagnum papillosum] carpets are more characteristic of minerotrophic acidic fens than of bogs."
D1.11124,7,[Eriophorum-Sphagnum capillifolium] lawns,Lawns of Palaearctic bogs dominated by [Eriophorum vaginatum] associated with [Sphagnum capillifolium] ([Sphagnum capillifolium var. capillifolium]).
D1.11125,7,[Eriophorum-Sphagnum recurvum] lawns,"Lawns of Palaearctic bogs dominated by [Eriophorum vaginatum] associated with [Sphagnum recurvum], often highly prevalent in moderately wet bogs of nemoral Central Europe and Hercynian Western Europe. In boreal Europe, [Sphagnum recurvum] communities are mostly limited to fens."
D1.11126,7,[Eriophorum-Sphagnum fuscum] lawns,"Lawns of Palaearctic bogs dominated by [Eriophorum vaginatum] associated with [Sphagnum fuscum] characteristic of subcontinental Fennoscandia, from eastern Sweden eastwards, of the eastern Baltic bog province of western Russia, of the Eastern Carpathians, of western Siberia."
D1.11127,7,[Eriophorum-Sphagnum rubellum] lawns,"Lawns of Palaearctic bogs dominated by [Eriophorum vaginatum] associated with [Sphagnum rubellum] ([Sphagnum capillifolium var. rubellum]) characteristic of relatively maritime climates, recorded, in particular, from southeastern Norway, western Sweden and the Danish archipelago, where [Sphagnum balticum] is a frequent accompanier, and from the Central Massif of France, where [Sphagnum magellanicum] is an associate."
D1.11128,7,[Eriophorum-Sphagnum balticum] lawns,"Lawns of Palaearctic bogs dominated by [Eriophorum vaginatum] associated with [Sphagnum balticum] characteristic of bogs of the nemoral region, in particular, of large areas of Sweden, of Finland, the Baltic States, Russia, western Siberia. Accompaniers include [Scirpus cespitosus], [Eriophorum russeolum], [Sphagnum rubellum], [Sphagnum tenellum], [Sphagnum lindbergii]."
D1.11129,7,[Eriophorum-Sphagnum angustifolium] lawns,"Lawns of Palaearctic bogs dominated by [Eriophorum vaginatum] associated with [Sphagnum angustifolium] characteristic of northeastern Europe and eastern Fennoscandia, mostly distributed in northern Karelia, the Lake and Bothnian gulf regions of Finland, rare in Sweden."
D1.1112A,7,[Eriophorum-Sphagnum magellanicum] lawns,"Lawns of Palaearctic bogs dominated by [Eriophorum vaginatum] associated with [Sphagnum magellanicum] and [Sphagnum rubellum], sometimes accompanied by [Sphagnum tenellum], [Sphagnum angustifolium], [Sphagnum papillosum], [Sphagnum recurvum], [Sphagnum fuscum] or [Sphagnum warnstorfii], characteristic, in particular, of the British Isles, southern Scandinavia, in Denmark, Norway and southern Sweden, of the northern and southern Alpine piedmont, of the Eastern Carpathians."
D1.1113,6,Dwarf shrub hummocks,"Dwarf shrub communities, mostly ericaceous, forming on the top of drying hummocks of bogs of the nemoral, boreonemoral, lowland boreal and low montane boreal regions of the Palaearctic, often with the moss [Polytrichum strictum], sometimes colonizing sphagnum hummocks forming in fens of the same regions."
D1.11131,7,Ling dwarf shrub hummocks,"[Calluna vulgaris]-dominated shrub hummocks, widespread in the nemoral and boreal zones of the western Palaearctic region, east to the Carpathians and western Siberia, south to the Alpine piedmont and the Pyrenees, most characteristic of Central European and sub-Atlantic Scandinavian bogs, in which [Calluna vulgaris] is often the only dominant hummock shrub."
D1.11132,7,Cross-leaved heather shrub hummocks,[Erica tetralix]-dominated communities characteristic of the shrub hummocks of Atlantic bogs.
D1.11133,7,Crowberry shrub hummocks,"Shrub hummocks of lowland or low montane Northern Europe, of Western Europe, of lowland Central Europe, the Baltic region, the Hercynian ranges, the Alps, the Northern Carpathians dominated by [Empetrum nigrum] or, in boreal regions, in mountains and in eastern Central Europe, [Empetrum hermaphroditum], characteristic of suboceanic climates, of drier, taller hummocks or of slightly more mineral-influenced bogs of Europe."
D1.11134,7,[Vaccinium] shrub hummocks,"Shrub hummocks of Atlantic and sub-Atlantic lowland or low montane boreal Europe, of the European Hercynian ranges, the Alps, the Pyrenees, the Carpathians, and their periphery, dominated by ericoid shrubs of genus [Vaccinium], mostly [Vaccinium uliginosum], also [Vaccinium vitis-idaea] or [Vaccinium myrtillus], locally, in particular, in Scandinavia and the Alps, associated with [Betula nana]."
D1.11135,7,Labrador tea shrub hummocks,"Shrub hummocks of boreonemoral, sub-boreal, lowland boreal and low montane boreal regions of the Palaearctic dominated by [Ledum palustre], most characteristic of subcontinental regions of the southeastern Baltic hinterland, from eastern Germany, Poland, the Baltic States to boreonemoral Russia, and of the southern boreal Far East of Kamchatcka and northern Sakhalin, often marking tall hummocks."
D1.11136,7,Bog myrtle hummocks,"Shrub hummocks dominated by [Myrica gale], of local occurrence in nemoral Atlantic bogs, or by [Myrica tomentosa] in the southern boreal Pacific Far East."
D1.11137,7,Dwarf birch hummocks,"Dwarf shrub hummock communities of nemoral Europe and of the lowland and hill bogs of boreal Europe, west to Fennoscandia and the Baltic States, dominated by, or rich in, [Betula nana]. In nemoral Europe they are limited to isolated enclaves on hills of the Germano-Baltic plains and to rare stations within the greater Hercynian ranges and the Alps, where they represent relict outposts of the communities of unit D1.114, with which they share, in particular, besides [Betula nana], [Vaccinium microcarpum], [Rubus chamaemorus], [Chamaedaphne calyculata]."
D1.11138,7,Cloudberry hummocks,"Dwarf shrub hummock communities of subcontinental and continental, lowland or low montane boreal and boreonemoral Europe dominated by, or rich in, [Rubus chamaemorus], associated with [Calluna vulgaris] or with [Empetrum hermaphroditum], [Ledum palustre], [Chamaedaphne calyculata], characteristic, in particular, of eastern Fennoscandia, the southeastern and eastern Baltic regions, Russia, with outposts in the eastern Hercynian ranges, in the Giant Mountains."
D1.11139,7,Leatherleaf hummocks,"Shrub hummocks dominated by [Chamaedaphne calyculata], main shrub hummock type of the continental parts of the boreal and boreonemoral Palaearctic, in European Russia, Siberia, the Russian Far East, with outposts in Baltic regions and the eastern Hercynian ranges."
D1.1114,6,Bog deergrass communities,"[Scirpus cespitosus]-dominated bogs or parts of bogs, mostly characteristic of the subalpine level of Hercynian, pre-Alpine and Alpine ranges."
D1.1115,6,Bog [Erica-Sphagnum] communities,"Bogs or parts of bogs dominated by [Erica tetralix] and [Sphagnum papillosum], characteristic of raised bog systems of Atlantic regions, particularly the British Isles, the low countries, northwestern Germany."
D1.1116,6,Raised bog species-poor cottonsedge communities,"Bogs or parts of bogs overwhelmingly dominated by [Eriophorum vaginatum], with a strongly impoverished species cortège, in particular, with very few sphagna, characteristic of degraded and, in particular, grazed, bog systems of Atlantic regions, notably of the Pennines."
D1.112,5,Raised bog hollows (schlenken),"Temporarily or permanently rainwater-filled depressions of bogs, occupied by communities similar to those of larger intermediate mires of units D2.25 or D2.3H."
D1.1121,6,Sphagnum schlenken,"Constantly submerged hollows carpeted by floating or bottom-hugging mats of often bright green sphagna, in particular, [Sphagnum cuspidatum], [Sphagnum recurvum], [Sphagnum majus] ([Sphagnum dusenii]), [Sphagnum balticum], sometimes accompanied by bryopsid mosses, in particular, [Drepanocladus fluitans], [Lophozia inflata], and with a vascular cortège that may typically be dominated by [Rhynchospora alba], [Scheuchzeria palustris], [Eriophorum vaginatum], [Eriophorum angustifolium], [Menyanthes trifoliata] or [Carex limosa], and include [Carex paupercula], [Carex pauciflora], [Vaccinium oxycoccos], [Drosera rotundifolia], [Andromeda polifolia]."
